Moscow,Москва,Moscow,"11,514,330",Russia
Saint Petersburg,Санкт-Петербург,Saint Petersburg,"4,848,742",Russia
Novosibirsk,Новосибирск,Novosibirsk Oblast,"1,473,737",Russia
Yekaterinburg,Екатеринбург,Sverdlovsk Oblast,"1,350,136",Russia
Nizhny Novgorod,Нижний Новгород,Nizhny Novgorod Oblast,"1,250,615",Russia
Samara,Самара,Samara Oblast,"1,164,896",Russia
Omsk,Омск,Omsk Oblast,"1,153,971",Russia
Kazan,Казань,Republic of Tatarstan,"1,143,546",Russia
Chelyabinsk,Челябинск,Chelyabinsk Oblast,"1,130,273",Russia
Rostov-on-Don,Ростов-на-Дону,Rostov Oblast,"1,089,851",Russia
Ufa,Уфа,Republic of Bashkortostan,"1,062,300",Russia
Volgograd,Волгоград,Volgograd Oblast,"1,021,244",Russia
Perm,Пермь,Perm Krai,"991,53",Russia
Krasnoyarsk,Красноярск,Krasnoyarsk Krai,"973,891",Russia
Voronezh,Воронеж,Voronezh Oblast,"889,989",Russia
Saratov,Саратов,Saratov Oblast,"837,831",Russia
Krasnodar,Краснодар,Krasnodar Krai,"744,933",Russia
Tolyatti,Тольятти,Samara Oblast,"719,514",Russia
Izhevsk,Ижевск,Udmurt Republic,"628,116",Russia
Ulyanovsk,Ульяновск,Ulyanovsk Oblast,"613,793",Russia
Barnaul,Барнаул,Altai Krai,"612,091",Russia
Vladivostok,Владивосток,Primorsky Krai,"592,069",Russia
Yaroslavl,Ярославль,Yaroslavl Oblast,"591,486",Russia
Irkutsk,Иркутск,Irkutsk Oblast,"587,225",Russia
Tyumen,Тюмень,Tyumen Oblast,"581,758",Russia
Makhachkala,Махачкала,Republic of Dagestan,"577,99",Russia
Khabarovsk,Хабаровск,Khabarovsk Krai,"577,668",Russia
Novokuznetsk,Новокузнецк,Kemerovo Oblast,"547,885",Russia
Orenburg,Оренбург,Orenburg Oblast,"544,987",Russia
Kemerovo,Кемерово,Kemerovo Oblast,"532,884",Russia
Ryazan,Рязань,Ryazan Oblast,"525,062",Russia
Tomsk,Томск,Tomsk Oblast,"522,94",Russia
Astrakhan,Астрахань,Astrakhan Oblast,"520,662",Russia
Penza,Пенза,Penza Oblast,"517,137",Russia
Naberezhnye Chelny,Набережные Челны,Republic of Tatarstan,"513,242",Russia
Lipetsk,Липецк,Lipetsk Oblast,"508,124",Russia
Tula,Тула,Tula Oblast,"501,129",Russia
Kirov,Киров,Kirov Oblast,"473,668",Russia
Cheboksary,Чебоксары,Chuvash Republic,"453,645",Russia
Kaliningrad,Калининград,Kaliningrad Oblast,"431,491",Russia
Bryansk,Брянск,Bryansk Oblast,"415,64",Russia
Kursk,Курск,Kursk Oblast,"414,595",Russia
Ivanovo,Иваново,Ivanovo Oblast,"409,277",Russia
Magnitogorsk,Магнитогорск,Chelyabinsk Oblast,"408,401",Russia
Ulan-Ude,Улан-Удэ,Republic of Buryatia,"404,357",Russia
Tver,Тверь,Tver Oblast,"403,726",Russia
Stavropol,Ставрополь,Stavropol Krai,"398,266",Russia
Nizhny Tagil,Нижний Тагил,Sverdlovsk Oblast,"361,883",Russia
Belgorod,Белгород,Belgorod Oblast,"356,426",Russia
Arkhangelsk,Архангельск,Arkhangelsk Oblast,"348,716",Russia
Vladimir,Владимир,Vladimir Oblast,"345,598",Russia
Sochi,Сочи,Krasnodar Krai,"343,285",Russia
Kurgan,Курган,Kurgan Oblast,"333,64",Russia
Smolensk,Смоленск,Smolensk Oblast,"326,863",Russia
Kaluga,Калуга,Kaluga Oblast,"325,185",Russia
Chita,Чита,Zabaykalsky Krai,"323,964",Russia
Oryol,Орёл,Oryol Oblast,"317,854",Russia
Volzhsky,Волжский,Volgograd Oblast,"314,436",Russia
Cherepovets,Череповец,Vologda Oblast,"312,311",Russia
Vladikavkaz,Владикавказ,Republic of North Ossetia–Alania,"311,635",Russia
Murmansk,Мурманск,Murmansk Oblast,"307,664",Russia
Surgut,Сургут,Khanty–Mansi Autonomous Okrug,"306,703",Russia
Vologda,Вологда,Vologda Oblast,"301,642",Russia
Saransk,Саранск,Republic of Mordovia,"297,425",Russia
Tambov,Тамбов,Tambov Oblast,"280,457",Russia
Sterlitamak,Стерлитамак,Republic of Bashkortostan,"273,432",Russia
Grozny,Грозный,Chechen Republic,"271,596",Russia
Yakutsk,Якутск,Sakha Republic,"269,486",Russia
Kostroma,Кострома,Kostroma Oblast,"268,617",Russia
Komsomolsk-na-Amure,Комсомольск-на-Амуре,Khabarovsk Krai,"263,906",Russia
Petrozavodsk,Петрозаводск,Republic of Karelia,"263,54",Russia
Taganrog,Таганрог,Rostov Oblast,"257,692",Russia
Nizhnevartovsk,Нижневартовск,Khanty–Mansi Autonomous Okrug,"251,86",Russia
Yoshkar-Ola,Йошкар-Ола,Mari El Republic,"248,688",Russia
Bratsk,Братск,Irkutsk Oblast,"246,348",Russia
Novorossiysk,Новороссийск,Krasnodar Krai,"241,788",Russia
Dzerzhinsk,Дзержинск,Nizhny Novgorod Oblast,"240,762",Russia
Shakhty,Шахты,Rostov Oblast,"240,152",Russia
Nalchik,Нальчик,Kabardino-Balkar Republic,"240,095",Russia
Orsk,Орск,Orenburg Oblast,"239,752",Russia
Syktyvkar,Сыктывкар,Komi Republic,"235,006",Russia
Nizhnekamsk,Нижнекамск,Republic of Tatarstan,"234,108",Russia
Angarsk,Ангарск,Irkutsk Oblast,"233,765",Russia
Stary Oskol,Старый Оскол,Belgorod Oblast,"221,163",Russia
Veliky Novgorod,Великий Новгород,Novgorod Oblast,"218,724",Russia
Balashikha,Балашиха,Moscow Oblast,"215,353",Russia
Blagoveshchensk,Благовещенск,Amur Oblast,"214,397",Russia
Prokopyevsk,Прокопьевск,Kemerovo Oblast,"210,15",Russia
Biysk,Бийск,Altai Krai,"210,055",Russia
Khimki,Химки,Moscow Oblast,"207,125",Russia
Pskov,Псков,Pskov Oblast,"203,281",Russia
Engels,Энгельс,Saratov Oblast,"202,401",Russia
Rybinsk,Рыбинск,Yaroslavl Oblast,"200,771",Russia
Balakovo,Балаково,Saratov Oblast,"199,573",Russia
Severodvinsk,Северодвинск,Arkhangelsk Oblast,"192,265",Russia
Armavir,Армавир,Krasnodar Krai,"188,897",Russia
Podolsk,Подольск,Moscow Oblast,"187,956",Russia
Korolyov,Королёв,Moscow Oblast,"183,452",Russia
Yuzhno-Sakhalinsk,Южно-Сахалинск,Sakhalin Oblast,"181,727",Russia
Petropavlovsk-Kamchatsky,Петропавловск-Камчатский,Kamchatka Krai,"179,526",Russia
Syzran,Сызрань,Samara Oblast,"178,773",Russia
Norilsk,Норильск,Krasnoyarsk Krai,"175,301",Russia
Zlatoust,Златоуст,Chelyabinsk Oblast,"174,985",Russia
Kamensk-Uralsky,Каменск-Уральский,Sverdlovsk Oblast,"174,71",Russia
Mytishchi,Мытищи,Moscow Oblast,"173,341",Russia
Lyubertsy,Люберцы,Moscow Oblast,"171,978",Russia
Volgodonsk,Волгодонск,Rostov Oblast,"170,621",Russia
Novocherkassk,Новочеркасск,Rostov Oblast,"169,039",Russia
Abakan,Абакан,Republic of Khakassia,"165,183",Russia
Nakhodka,Находка,Primorsky Krai,"159,695",Russia
Ussuriysk,Уссурийск,Primorsky Krai,"157,946",Russia
Berezniki,Березники,Perm Krai,"156,512",Russia
Salavat,Салават,Republic of Bashkortostan,"156,085",Russia
Elektrostal,Электросталь,Moscow Oblast,"155,324",Russia
Miass,Миасс,Chelyabinsk Oblast,"151,812",Russia
Rubtsovsk,Рубцовск,Altai Krai,"147,008",Russia
Almetyevsk,Альметьевск,Republic of Tatarstan,"146,309",Russia
Kovrov,Ковров,Vladimir Oblast,"145,492",Russia
Kolomna,Коломна,Moscow Oblast,"144,642",Russia
Maykop,Майкоп,Republic of Adygea,"144,246",Russia
Pyatigorsk,Пятигорск,Stavropol Krai,"142,397",Russia
Odintsovo,Одинцово,Moscow Oblast,"139,021",Russia
Kopeysk,Копейск,Chelyabinsk Oblast,"137,604",Russia
Khasavyurt,Хасавюрт,Republic of Dagestan,"133,929",Russia
Zheleznodorozhny,Железнодорожный,Moscow Oblast,"131,729",Russia
Novomoskovsk,Новомосковск,Tula Oblast,"131,227",Russia
Kislovodsk,Кисловодск,Stavropol Krai,"128,502",Russia
Serpukhov,Серпухов,Moscow Oblast,"126,496",Russia
Pervouralsk,Первоуральск,Sverdlovsk Oblast,"124,555",Russia
Novocheboksarsk,Новочебоксарск,Chuvash Republic,"124,113",Russia
Nefteyugansk,Нефтеюганск,Khanty–Mansi Autonomous Okrug,"123,276",Russia
Dimitrovgrad,Димитровград,Ulyanovsk Oblast,"122,549",Russia
Neftekamsk,Нефтекамск,Republic of Bashkortostan,"121,757",Russia
Cherkessk,Черкесск,Karachay–Cherkess Republic,"121,439",Russia
Orekhovo-Zuyevo,Орехово-Зуево,Moscow Oblast,"120,62",Russia
Derbent,Дербент,Republic of Dagestan,"119,961",Russia
Kamyshin,Камышин,Volgograd Oblast,"119,924",Russia
Nevinnomyssk,Невинномысск,Stavropol Krai,"118,351",Russia
Krasnogorsk,Красногорск,Moscow Oblast,"116,738",Russia
Murom,Муром,Vladimir Oblast,"116,078",Russia
Bataysk,Батайск,Rostov Oblast,"111,856",Russia
Novoshakhtinsk,Новошахтинск,Rostov Oblast,"111,087",Russia
Sergiyev Posad,Сергиев Посад,Moscow Oblast,"110,878",Russia
Noyabrsk,Ноябрьск,Yamalo-Nenets Autonomous Okrug,"110,572",Russia
Shchyolkovo,Щёлково,Moscow Oblast,"110,38",Russia
Kyzyl,Кызыл,Tuva Republic,"109,906",Russia
Oktyabrsky,Октябрьский,Republic of Bashkortostan,"109,379",Russia
Achinsk,Ачинск,Krasnoyarsk Krai,"109,156",Russia
Seversk,Северск,Tomsk Oblast,"108,466",Russia
Novokuybyshevsk,Новокуйбышевск,Samara Oblast,"108,449",Russia
Yelets,Елец,Lipetsk Oblast,"108,404",Russia
Arzamas,Арзамас,Nizhny Novgorod Oblast,"106,367",Russia
Obninsk,Обнинск,Kaluga Oblast,"104,798",Russia
Novy Urengoy,Новый Уренгой,Yamalo-Nenets Autonomous Okrug,"104,144",Russia
Kaspiysk,Каспийск,Republic of Dagestan,"103,914",Russia
Elista,Элиста,Republic of Kalmykia,"103,728",Russia
Pushkino,Пушкино,Moscow Oblast,"102,84",Russia
Zhukovsky,Жуковский,Moscow Oblast,"102,729",Russia
Artyom,Артём,Primorsky Krai,"102,636",Russia
Mezhdurechensk,Междуреченск,Kemerovo Oblast,"101,995",Russia
Leninsk-Kuznetsky,Ленинск-Кузнецкий,Kemerovo Oblast,"101,666",Russia
Sarapul,Сарапул,Udmurt Republic,"101,39",Russia
Yessentuki,Ессентуки,Stavropol Krai,"100,969",Russia
Votkinsk,Воткинск,Udmurt Republic,"100,034",Russia
Noginsk,Ногинск,Moscow Oblast,"99,762",Russia
Tobolsk,Тобольск,Tyumen Oblast,"99,698",Russia
Ukhta,Ухта,Komi Republic,"99,642",Russia
Serov,Серов,Sverdlovsk Oblast,"99,381",Russia
Velikiye Luki,Великие Луки,Pskov Oblast,"98,778",Russia
Michurinsk,Мичуринск,Tambov Oblast,"98,758",Russia
Kiselyovsk,Киселёвск,Kemerovo Oblast,"98,382",Russia
Novotroitsk,Новотроицк,Orenburg Oblast,"98,184",Russia
Zelenodolsk,Зеленодольск,Republic of Tatarstan,"97,651",Russia
Berdsk,Бердск,Novosibirsk Oblast,"97,288",Russia
Solikamsk,Соликамск,Perm Krai,"97,239",Russia
Ramenskoye,Раменское,Moscow Oblast,"96,355",Russia
Domodedovo,Домодедово,Moscow Oblast,"96,123",Russia
Magadan,Магадан,Magadan Oblast,"95,925",Russia
Glazov,Глазов,Udmurt Republic,"95,835",Russia
Kamensk-Shakhtinsky,Каменск-Шахтинский,Rostov Oblast,"95,306",Russia
Zheleznogorsk,Железногорск,Kursk Oblast,"95,057",Russia
Kansk,Канск,Krasnoyarsk Krai,"94,23",Russia
Nazran,Назрань,Republic of Ingushetia,"93,357",Russia
Gatchina,Гатчина,Leningrad Oblast,"92,566",Russia
Sarov,Саров,Nizhny Novgorod Oblast,"92,073",Russia
Voskresensk,Воскресенск,Moscow Oblast,"91,301",Russia
Dolgoprudny,Долгопрудный,Moscow Oblast,"90,976",Russia
Bugulma,Бугульма,Republic of Tatarstan,"89,144",Russia
Kuznetsk,Кузнецк,Penza Oblast,"88,883",Russia
Gubkin,Губкин,Belgorod Oblast,"88,562",Russia
Kineshma,Кинешма,Ivanovo Oblast,"88,113",Russia
Yeysk,Ейск,Krasnodar Krai,"87,771",Russia
Reutov,Реутов,Moscow Oblast,"87,195",Russia
Ust-Ilimsk,Усть-Илимск,Irkutsk Oblast,"86,591",Russia
Zheleznogorsk,Железногорск,Krasnoyarsk Krai,"85,559",Russia
Novouralsk,Новоуральск,Sverdlovsk Oblast,"85,519",Russia
Usolye-Sibirskoye,Усолье-Сибирское,Irkutsk Oblast,"83,364",Russia
Chaykovsky,Чайковский,Perm Krai,"82,933",Russia
Azov,Азов,Rostov Oblast,"82,882",Russia
Buzuluk,Бузулук,Orenburg Oblast,"82,655",Russia
Ozyorsk,Озёрск,Chelyabinsk Oblast,"82,268",Russia
Balashov,Балашов,Saratov Oblast,"82,222",Russia
Yurga,Юрга,Kemerovo Oblast,"81,536",Russia
Kirovo-Chepetsk,Кирово-Чепецк,Kirov Oblast,"80,92",Russia
Kropotkin,Кропоткин,Krasnodar Krai,"80,743",Russia
Klin,Клин,Moscow Oblast,"80,584",Russia
Vyborg,Выборг,Leningrad Oblast,"80,013",Russia
Khanty-Mansiysk,Ханты-Мансийск,Khanty–Mansi Autonomous Okrug,"79,41",Russia
Troitsk,Троицк,Chelyabinsk Oblast,"78,637",Russia
Bor,Бор,Nizhny Novgorod Oblast,"78,079",Russia
Shadrinsk,Шадринск,Kurgan Oblast,"77,744",Russia
Belovo,Белово,Kemerovo Oblast,"76,752",Russia
Mineralnye Vody,Минеральные Воды,Stavropol Krai,"76,715",Russia
Anzhero-Sudzhensk,Анжеро-Судженск,Kemerovo Oblast,"76,669",Russia
Birobidzhan,Биробиджан,Jewish Autonomous Oblast,"75,419",Russia
Lobnya,Лобня,Moscow Oblast,"74,35",Russia
Chapayevsk,Чапаевск,Samara Oblast,"72,689",Russia
Georgiyevsk,Георгиевск,Stavropol Krai,"72,126",Russia
Chernogorsk,Черногорск,Republic of Khakassia,"72,117",Russia
Minusinsk,Минусинск,Krasnoyarsk Krai,"71,171",Russia
Mikhaylovsk,Михайловск,Stavropol Krai,"71,018",Russia
Yelabuga,Елабуга,Republic of Tatarstan,"70,75",Russia
Dubna,Дубна,Moscow Oblast,"70,569",Russia
Vorkuta,Воркута,Komi Republic,"70,551",Russia
Novoaltaysk,Новоалтайск,Altai Krai,"70,438",Russia
Yegoryevsk,Егорьевск,Moscow Oblast,"70,133",Russia
Asbest,Асбест,Sverdlovsk Oblast,"68,914",Russia
Beloretsk,Белорецк,Republic of Bashkortostan,"68,804",Russia
Belogorsk,Белогорск,Amur Oblast,"68,22",Russia
Gukovo,Гуково,Rostov Oblast,"67,268",Russia
Stupino,Ступино,Moscow Oblast,"66,942",Russia
Tuymazy,Туймазы,Republic of Bashkortostan,"66,849",Russia
Kstovo,Кстово,Nizhny Novgorod Oblast,"66,641",Russia
Volsk,Вольск,Saratov Oblast,"66,52",Russia
Ishimbay,Ишимбай,Republic of Bashkortostan,"66,242",Russia
Kungur,Кунгур,Perm Krai,"66,11",Russia
Zelenogorsk,Зеленогорск,Krasnoyarsk Krai,"66,018",Russia
Lysva,Лысьва,Perm Krai,"65,931",Russia
Sosnovy Bor,Сосновый Бор,Leningrad Oblast,"65,901",Russia
Buynaksk,Буйнакск,Republic of Dagestan,"65,735",Russia
Borisoglebsk,Борисоглебск,Voronezh Oblast,"65,585",Russia
Ishim,Ишим,Tyumen Oblast,"65,229",Russia
Naro-Fominsk,Наро-Фоминск,Moscow Oblast,"64,64",Russia
Budyonnovsk,Будённовск,Stavropol Krai,"64,628",Russia
Donskoy,Донской,Tula Oblast,"64,561",Russia
Polevskoy,Полевской,Sverdlovsk Oblast,"64,191",Russia
Leninogorsk,Лениногорск,Republic of Tatarstan,"64,145",Russia
Pavlovsky Posad,Павловский Посад,Moscow Oblast,"63,771",Russia
Slavyansk-na-Kubani,Славянск-на-Кубани,Krasnodar Krai,"63,768",Russia
Zarechny,Заречный,Penza Oblast,"63,579",Russia
Tuapse,Туапсе,Krasnodar Krai,"63,233",Russia
Rossosh,Россошь,Voronezh Oblast,"62,865",Russia
Kumertau,Кумертау,Republic of Bashkortostan,"62,854",Russia
Labinsk,Лабинск,Krasnodar Krai,"62,822",Russia
Sibay,Сибай,Republic of Bashkortostan,"62,732",Russia
Klintsy,Клинцы,Bryansk Oblast,"62,51",Russia
Rzhev,Ржев,Tver Oblast,"62,026",Russia
Revda,Ревда,Sverdlovsk Oblast,"61,89",Russia
Tikhoretsk,Тихорецк,Krasnodar Krai,"61,825",Russia
Neryungri,Нерюнгри,Sakha Republic,"61,746",Russia
Aleksin,Алексин,Tula Oblast,"61,738",Russia
Alexandrov,Александров,Vladimir Oblast,"61,544",Russia
Dmitrov,Дмитров,Moscow Oblast,"61,454",Russia
Meleuz,Мелеуз,Republic of Bashkortostan,"61,408",Russia
Salsk,Сальск,Rostov Oblast,"61,312",Russia
Lesosibirsk,Лесосибирск,Krasnoyarsk Krai,"61,146",Russia
Gus-Khrustalny,Гусь-Хрустальный,Vladimir Oblast,"60,773",Russia
Chistopol,Чистополь,Republic of Tatarstan,"60,703",Russia
Pavlovo,Павлово,Nizhny Novgorod Oblast,"60,699",Russia
Chekhov,Чехов,Moscow Oblast,"60,677",Russia
Kotlas,Котлас,Arkhangelsk Oblast,"60,562",Russia
Belebey,Белебей,Republic of Bashkortostan,"60,183",Russia
Iskitim,Искитим,Novosibirsk Oblast,"60,072",Russia
Verkhnyaya Pyshma,Верхняя Пышма,Sverdlovsk Oblast,"59,745",Russia
Krasnoturyinsk,Краснотурьинск,Sverdlovsk Oblast,"59,701",Russia
Apatity,Апатиты,Murmansk Oblast,"59,69",Russia
Vsevolozhsk,Всеволожск,Leningrad Oblast,"59,689",Russia
Prokhladny,Прохладный,Kabardino-Balkar Republic,"59,595",Russia
Mikhaylovka,Михайловка,Volgograd Oblast,"59,153",Russia
Anapa,Анапа,Krasnodar Krai,"58,983",Russia
Tikhvin,Тихвин,Leningrad Oblast,"58,843",Russia
Ivanteyevka,Ивантеевка,Moscow Oblast,"58,594",Russia
Svobodny,Свободный,Amur Oblast,"58,594",Russia
Shuya,Шуя,Ivanovo Oblast,"58,528",Russia
Kogalym,Когалым,Khanty–Mansi Autonomous Okrug,"58,192",Russia
Shchyokino,Щёкино,Tula Oblast,"58,154",Russia
Krymsk,Крымск,Krasnodar Krai,"57,37",Russia
Vyazma,Вязьма,Smolensk Oblast,"57,103",Russia
Gorno-Altaysk,Горно-Алтайск,Altai Republic,"56,928",Russia
Vidnoye,Видное,Moscow Oblast,"56,798",Russia
Arsenyev,Арсеньев,Primorsky Krai,"56,742",Russia
Izberbash,Избербаш,Republic of Dagestan,"56,301",Russia
Vyksa,Выкса,Nizhny Novgorod Oblast,"56,196",Russia
Klimovsk,Климовск,Moscow Oblast,"56,113",Russia
Liski,Лиски,Voronezh Oblast,"55,864",Russia
Volzhsk,Волжск,Mari El Republic,"55,671",Russia
Krasnokamensk,Краснокаменск,Zabaykalsky Krai,"55,668",Russia
Zhigulyovsk,Жигулёвск,Samara Oblast,"55,56",Russia
Fryazino,Фрязино,Moscow Oblast,"55,449",Russia
Uzlovaya,Узловая,Tula Oblast,"55,282",Russia
Lytkarino,Лыткарино,Moscow Oblast,"55,147",Russia
Nyagan,Нягань,Khanty–Mansi Autonomous Okrug,"54,903",Russia
Roslavl,Рославль,Smolensk Oblast,"54,898",Russia
Gelendzhik,Геленджик,Krasnodar Krai,"54,813",Russia
Timashyovsk,Тимашёвск,Krasnodar Krai,"53,921",Russia
Belorechensk,Белореченск,Krasnodar Krai,"53,891",Russia
Borovichi,Боровичи,Novgorod Oblast,"53,699",Russia
Solnechnogorsk,Солнечногорск,Moscow Oblast,"52,996",Russia
Nazarovo,Назарово,Krasnoyarsk Krai,"52,829",Russia
Kirishi,Кириши,Leningrad Oblast,"52,826",Russia
Cheremkhovo,Черемхово,Irkutsk Oblast,"52,65",Russia
Vyshny Volochyok,Вышний Волочёк,Tver Oblast,"52,326",Russia
Krasnokamsk,Краснокамск,Perm Krai,"51,929",Russia
Beryozovsky,Берёзовский,Sverdlovsk Oblast,"51,583",Russia
Balakhna,Балахна,Nizhny Novgorod Oblast,"51,526",Russia
Livny,Ливны,Oryol Oblast,"50,43",Russia
Lesnoy,Лесной,Sverdlovsk Oblast,"50,364",Russia
Donetsk,Донецк,Rostov Oblast,"50,085",Russia
Severomorsk,Североморск,Murmansk Oblast,"50,076",Russia
Sayanogorsk,Саяногорск,Republic of Khakassia,"49,889",Russia
Buguruslan,Бугуруслан,Orenburg Oblast,"49,737",Russia
Kimry,Кимры,Tver Oblast,"49,623",Russia
Snezhinsk,Снежинск,Chelyabinsk Oblast,"48,896",Russia
Kingisepp,Кингисепп,Leningrad Oblast,"48,667",Russia
Zarinsk,Заринск,Altai Krai,"48,456",Russia
Otradny,Отрадный,Samara Oblast,"48,359",Russia
Yartsevo,Ярцево,Smolensk Oblast,"47,853",Russia
Chusovoy,Чусовой,Perm Krai,"46,74",Russia
Verkhnyaya Salda,Верхняя Салда,Sverdlovsk Oblast,"46,24",Russia
Osinniki,Осинники,Kemerovo Oblast,"45,997",Russia
Kanash,Канаш,Chuvash Republic,"45,608",Russia
Monchegorsk,Мончегорск,Murmansk Oblast,"45,381",Russia
Tulun,Тулун,Irkutsk Oblast,"44,603",Russia
Spassk-Dalny,Спасск-Дальний,Primorsky Krai,"44,166",Russia
